date_day,year,month,quarter,month_name,year_month
2011-05-01 00:00:00,2011,5,2,May,2011-05
2013-09-01 00:00:00,2013,9,3,September,2013-09
2012-07-01 00:00:00,2012,7,3,July,2012-07
2011-10-01 00:00:00,2011,10,4,October,2011-10
2010-02-01 00:00:00,2010,2,1,February,2010-02
2011-02-01 00:00:00,2011,2,1,February,2011-02
2010-03-01 00:00:00,2010,3,1,March,2010-03
2007-12-01 00:00:00,2007,12,4,December,2007-12
2008-08-01 00:00:00,2008,8,3,August,2008-08
2008-09-01 00:00:00,2008,9,3,September,2008-09
2013-02-01 00:00:00,2013,2,1,February,2013-02
2011-08-01 00:00:00,2011,8,3,August,2011-08
2012-01-01 00:00:00,2012,1,1,January,2012-01
2013-10-01 00:00:00,2013,10,4,October,2013-10
2013-05-01 00:00:00,2013,5,2,May,2013-05
2013-01-01 00:00:00,2013,1,1,January,2013-01
2012-09-01 00:00:00,2012,9,3,September,2012-09
2007-11-01 00:00:00,2007,11,4,November,2007-11
2007-06-01 00:00:00,2007,6,2,June,2007-06
2011-11-01 00:00:00,2011,11,4,November,2011-11
2010-05-01 00:00:00,2010,5,2,May,2010-05
2010-07-01 00:00:00,2010,7,3,July,2010-07
2010-04-01 00:00:00,2010,4,2,April,2010-04
2010-11-01 00:00:00,2010,11,4,November,2010-11
2010-08-01 00:00:00,2010,8,3,August,2010-08
2010-10-01 00:00:00,2010,10,4,October,2010-10
2010-06-01 00:00:00,2010,6,2,June,2010-06
2008-01-01 00:00:00,2008,1,1,January,2008-01
2009-03-01 00:00:00,2009,3,1,March,2009-03
2009-04-01 00:00:00,2009,4,2,April,2009-04
2012-12-01 00:00:00,2012,12,4,December,2012-12
2012-11-01 00:00:00,2012,11,4,November,2012-11
2012-05-01 00:00:00,2012,5,2,May,2012-05
2012-02-01 00:00:00,2012,2,1,February,2012-02
2012-04-01 00:00:00,2012,4,2,April,2012-04
2010-12-01 00:00:00,2010,12,4,December,2010-12
2008-05-01 00:00:00,2008,5,2,May,2008-05
2008-10-01 00:00:00,2008,10,4,October,2008-10
2008-06-01 00:00:00,2008,6,2,June,2008-06
2013-12-01 00:00:00,2013,12,4,December,2013-12
2013-07-01 00:00:00,2013,7,3,July,2013-07
2013-08-01 00:00:00,2013,8,3,August,2013-08
2012-03-01 00:00:00,2012,3,1,March,2012-03
2009-08-01 00:00:00,2009,8,3,August,2009-08
2008-11-01 00:00:00,2008,11,4,November,2008-11
2009-11-01 00:00:00,2009,11,4,November,2009-11
2008-12-01 00:00:00,2008,12,4,December,2008-12
2013-11-01 00:00:00,2013,11,4,November,2013-11
2013-03-01 00:00:00,2013,3,1,March,2013-03
2012-06-01 00:00:00,2012,6,2,June,2012-06
2012-10-01 00:00:00,2012,10,4,October,2012-10
2011-04-01 00:00:00,2011,4,2,April,2011-04
2011-07-01 00:00:00,2011,7,3,July,2011-07
2011-09-01 00:00:00,2011,9,3,September,2011-09
2011-06-01 00:00:00,2011,6,2,June,2011-06
2011-03-01 00:00:00,2011,3,1,March,2011-03
2010-01-01 00:00:00,2010,1,1,January,2010-01
2009-07-01 00:00:00,2009,7,3,July,2009-07
2009-12-01 00:00:00,2009,12,4,December,2009-12
2012-08-01 00:00:00,2012,8,3,August,2012-08
2013-04-01 00:00:00,2013,4,2,April,2013-04
2008-02-01 00:00:00,2008,2,1,February,2008-02
2009-02-01 00:00:00,2009,2,1,February,2009-02
2007-10-01 00:00:00,2007,10,4,October,2007-10
2007-09-01 00:00:00,2007,9,3,September,2007-09
2008-04-01 00:00:00,2008,4,2,April,2008-04
2009-10-01 00:00:00,2009,10,4,October,2009-10
2008-03-01 00:00:00,2008,3,1,March,2008-03
2009-06-01 00:00:00,2009,6,2,June,2009-06
2009-05-01 00:00:00,2009,5,2,May,2009-05
2009-09-01 00:00:00,2009,9,3,September,2009-09
2007-07-01 00:00:00,2007,7,3,July,2007-07
2011-12-01 00:00:00,2011,12,4,December,2011-12
2013-06-01 00:00:00,2013,6,2,June,2013-06
2010-09-01 00:00:00,2010,9,3,September,2010-09
2011-01-01 00:00:00,2011,1,1,January,2011-01
2009-01-01 00:00:00,2009,1,1,January,2009-01
2008-07-01 00:00:00,2008,7,3,July,2008-07
2007-08-01 00:00:00,2007,8,3,August,2007-08
